nation,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20
Umatilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulalip Tribes,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueblo of Isleta,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankton Sioux,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo Nation,,,,,,,2,1,11,,12,,3,20,20,2,21,,36,20,26,40,27,29,51,33,30,42,64,70,39,101,,115,25,83,121,85,70,,124,63,76,78,180,97,79
Lummi,,,,,,,,3,,,2,,3,,,2,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee Nation,,,,,,,,1,,,,,,1,,,,,,,,,,10,,,13,2,2,,,,,3,,13,,2,,,,7,1,2,,,
Seneca Nation,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Wind River Reservation,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gila River Indian Community,,,,,,,,,,,,,2,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sac and Fox Tribe of Mississippi,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt River Pima-Maricopa Indian Community,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otoe-Missouria Tribe,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopi,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,18,,,,8,,6,,,
Bishop Paiute,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Fort McDowell Yavapai Nation,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosebud Sioux Tribe,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Band of Cherokee Indians,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
White Mountain Apache Tribe,,,,,,,,,,,,,,,,,1,,,,9,,,,,,,,7,,3,,,,,,,,,13,,,,,,,
Deg Hit'an Athabaskan,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Band of Choctaw Indians,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,1,3,,,1,,,,1,2,5,3,12,2,7,,,,,
Tohono O'odham Nation,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Regis Mohawk Tribe and the Mohawk Council of Akwesasne,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
