AIANNHCE,AIANNHNS,GEOID,NAME,NAMELSAD,ALAND,AWATER,tot_pop,Shape_Length,Shape_Area
10,1934337,0010R,Acoma,Acoma Pueblo,1065694864,331928,2784,3.6084554,0.105092493
9510,2418753,9510R,Adais Caddo,Adais Caddo SDTSA,378869477,4749622,2269,2.415304139,0.036480093
20,1934324,0020R,Agua Caliente,Agua Caliente Indian Reservation,126539885,749217,26028,3.000390342,0.012391139
6015,2418754,6015R,Akhiok,Akhiok ANVSA,19166808,5724762,57,0.300431163,0.003672677
6020,2418755,6020R,Akiachak,Akiachak ANVSA,39933532,2710725,567,0.524932499,0.007050881
6025,2418757,6025R,Akiak,Akiak ANVSA,2173229,15267,416,0.07542136,0.000361968
6030,2418758,6030R,Akutan,Akutan ANVSA,3737114,239023,755,0.122577251,0.000546559
50,1350923,0050R,Alabama-Coushatta,Alabama-Coushatta Reservation,18437650,83761,606,0.248028856,0.001744219
6035,2418759,6035R,Alakanuk,Alakanuk ANVSA,83395368,24862278,837,0.701341693,0.018967213
6040,2418760,6040R,Alatna,Alatna ANVSA,46583723,1139845,4,0.554279556,0.009638465
6045,2418763,6045R,Aleknagik,Aleknagik ANVSA,33326827,17639044,204,0.464365957,0.008025422
6065,2418765,6065R,Algaaciq,Algaaciq ANVSA,5565945,670705,527,0.16627297,0.001070225
6070,2418766,6070R,Allakaket,Allakaket ANVSA,22544588,1058889,170,0.46824091,0.004762996
80,978667,0080R,Allegany,Allegany Reservation,105881140,19755258,6127,1.223351327,0.013673903
95,218194,0095R,Alturas,Alturas Indian Rancheria,100606,0,0,0.013837466,1.08E-05
6075,2418768,6075R,Ambler,Ambler ANVSA,26621407,4063404,299,0.406767279,0.006330734
5003,2634609,5003T,Anahola (Agricultural),Anahola (Agricultural) Hawaiian Home Land,2076473,5227,200,0.148206714,0.000182244
5004,2634610,5004T,Anahola (Residential),Anahola (Residential) Hawaiian Home Land,14577614,73631,1670,0.317857231,0.001282548
6080,2418769,6080R,Anaktuvuk Pass,Anaktuvuk Pass ANVSA,13407366,139518,265,0.267297565,0.002923326
6095,2418771,6095R,Andreafsky,Andreafsky ANVSA,66905507,6000827,113,0.97078113,0.01251119
6100,2418772,6100R,Angoon,Angoon ANVSA,66031963,34900200,523,0.936388234,0.015097205
6105,2418773,6105R,Aniak,Aniak ANVSA,29951934,5929577,525,0.595639631,0.006059297
110,1934114,0110R,Annette Island,Annette Island Reserve,343944587,333894108,1635,1.347795706,0.095451958
6125,2418774,6125R,Anvik,Anvik ANVSA,24578643,6308736,104,0.331161243,0.00540507
